Country name,Continent,Literacy rate (2011),Inflation (2021),Life expectancy (2011),Democracy Index (2011),GDP per capita (2011),female school year ratio,Partner Violence (2018),Happiness Score (2011),Life Expectancy at Birth,Basic Water Access
Afghanistan,Asia,32,0.525,61,24.8,551,22.9,35,38.3,61.4,50.8
Africa (UN),,,,,,,,,,,
Albania,Europe,83.8,5.93,78.1,58.1,3680,102,6,58.7,78.1,91.8
Algeria,Africa,81.41,15.7,74.7,34.4,3970,89.4,,53.2,74.1,92.5
American Samoa,Oceania,,0.905,,,12700,,,,,99.3
Andorra,Europe,,22.1,81.9,,41500,105,,,,100
Angola,Africa,82.6,33.6,60.8,33.2,2980,71.2,25,55.9,57.6,51.2
Anguilla,North America,,,,,,,,,,
Antigua and Barbuda,North America,98.4,1.98,76,,13900,110,,,77.1,97
Argentina,South America,97.8,54.2,76,68.4,14200,108,4,67.8,76.1,98.6
Armenia,Asia,99.7,6.87,74.2,40.9,3040,104,5,42.6,73.3,98.5
Aruba,North America,,2.22,,,26800,,,,75.5,97.6
Asia (UN),Asia,,,,,,,,,,
Australia,Oceania,44,2.8,82.3,92.2,54100,102,3,74.1,81.9,99.9
Austria,Europe,98,1.98,81,84.9,44500,100,4,74.7,81,100
Azerbaijan,Asia,,21.2,69.2,31.5,5150,100,5,46.8,70,87.3
Bahamas,North America,,1.62,73.2,,30500,107,,,72.6,98.7
Bahrain,Asia,92.3,9.5,75.3,29.2,21900,107,,48.2,78.9,100
Bangladesh,Asia,62,4.12,71.1,58.6,1020,75.7,23,49.9,68.8,96.5
Barbados,North America,,3.88,76.2,,17100,108,16.2,,75.9,98.4
Belarus,Europe,99.9,13.1,70.5,31.6,5940,105,6,52.3,70.6,97.3
Belgium,Europe,99,2.93,80.4,80.5,39900,104,5,71.1,80.6,100
Belize,North America,,3.96,73.8,,5740,98.5,8,,72.7,94.6
Benin,Africa,45.84,0,61.4,60.6,963,47.3,15,38.7,58.5,64.2
Bermuda,North America,,0.367,,,112000,,,,81.4,99.9
Bhutan,Asia,70.95,4.7,71.3,45.7,2320,46.8,9,49.8,68.9,93.2
Bolivia,South America,,3.97,70.5,58.4,2560,89.8,18,57.8,66.5,87.9
Bonaire Sint Eustatius and Saba,North America,,,,,,,,,,
Bosnia and Herzegovina,Europe,99.5,4.88,76.4,52.4,4090,98.7,3,50,77,96.6
Botswana,Africa,,2.53,57.8,76.3,5680,113,17,35.2,60.5,84.3
Brazil,South America,93,11.1,74,71.2,8940,112,6,70.4,73.3,96.8
British Virgin Islands,North America,,,,,,,,,75.5,99.5
Brunei,Asia,97,15.5,73.9,,33600,98.9,3.5,,74.9,99.5
Bulgaria,Europe,98.8,7.13,72.7,67.8,6610,106,6,38.8,74.2,99.4
Burkina Faso,Africa,34.5,0,58.3,35.9,584,58.8,11,47.9,57.1,52.5
Burundi,Africa,,9.91,59.4,40.1,299,76,22,37.1,57.8,57.1
Cambodia,Asia,83.91,1.229,67.4,48.7,938,76.1,9,41.6,68.4,65.5
Cameroon,Africa,78.23,3.36,58.2,34.1,1280,78.4,22,44.3,57.1,62.4
Canada,North America,,8.07,81.9,90.8,42000,102,3,74.3,81.5,99.2
Cape Verde,Africa,89.8,2.33,74.5,79.2,2920,86.5,11,,74.3,83.4
Cayman Islands,North America,,3.26,,,78400,,,,,96.1
Central African Republic,Africa,69.6,3.27,48.3,18.2,514,57.6,21,36.8,49.9,46.5
Chad,Africa,45.6,7.2,56.9,16.2,703,32.7,16,43.9,50,43
Chile,South America,98.77,7.56,79,75.4,12400,104,6,65.3,79.1,98.6
China,Asia,99.83,4.37,75.3,31.4,6150,87.5,8,50.4,75.9,89.3
Colombia,South America,93.5,6.5,78.7,66.3,5510,106,12,64.6,75.3,95.2
Comoros,Africa,80.5,0.05,65.7,35.2,1300,78.4,8,38.4,61.5,82.6
Congo,Africa,,25.6,,28.5,,,33.8,45.1,62,67
Cook Islands,Oceania,,,,,,,,,,
Costa Rica,North America,96,2.03,80.2,81,10500,108,7,72.3,79.3,98.4
Cote d'Ivoire,Africa,65.6,2.76,57.8,30.8,1520,58.3,16,,55.5,71.2
Croatia,Europe,99.5,2.03,77.1,67.3,11800,106,4,53.9,76.8,98.7
Cuba,North America,99.8,402,79.1,35.2,6900,105,5,,77.8,95
Curacao,North America,,3.76,,,,,,,,
Cyprus,Asia,99.3,2.87,79.8,72.9,25500,103,3,66.9,80,99.8
Czechia,Europe,,,,81.9,,,4,63.3,77.9,99.9
Democratic Republic of Congo,Africa,,25,,21.5,,,36,45.2,57.1,40.2
Denmark,Europe,99,2.77,79.9,95.2,51600,104,3,77.9,79.8,100
Djibouti,Africa,,4.46,63.6,26.8,,46.1,,43.7,60.4,75.6
Dominica,North America,95.17,3.03,72.4,,7880,111,,,69.7,95.2
Dominican Republic,North America,90,7.78,73.4,62,5830,110,10,54,72.2,94.9
East Timor,Asia,,,,,,,,,,
Ecuador,South America,93,2.58,74.9,57.2,5660,104,8,58,75.7,90.2
Egypt,Africa,81,4.84,69.6,39.5,3290,80.3,15,41.7,69.9,98.8
El Salvador,North America,,6.09,75.1,64.7,3490,97.4,6,47.4,71.9,90.9
Equatorial Guinea,Africa,97.1,18.2,63.1,17.7,12200,72.3,29,,58.4,61.6
Eritrea,Africa,79.5,,60.4,23.4,702,59.9,,,64.4,50.2
Estonia,Europe,99.8,6,76.3,76.1,15700,108,4,54.9,76.2,99.7
Eswatini,Africa,88.4,0,49.8,32.6,3250,102,18,48.7,48.2,63.1
Ethiopia,Africa,48.93,21.8,64,37.9,481,59.6,27,45.6,60.7,35.8
Europe (UN),,,,,,,,,,,
Falkland Islands,South America,,,,,,,,,,
Faroe Islands,Europe,,,,,,,,,,
Fiji,Oceania,,0,67.7,36.7,4400,103,23,,67.5,94.3
Finland,Europe,100,2.55,80.7,90.6,44500,106,8,73.5,80.5,100
France,Europe,99,1.33,81.8,77.7,36200,106,5,69.6,82.1,100
French Guiana,South America,,,,,,,,,,
French Polynesia,Oceania,,1.13,,,18200,,,,81.4,100
Gabon,Africa,92.3,25.3,63.7,34.8,6740,99,22,42.5,64,83.1
Gambia,Africa,60.9,7.85,64.2,33.8,621,51.6,10,,61.5,77.8
Georgia,Europe,99.8,10.3,72.2,47.4,3360,104,3,42,72.4,95.2
Germany,Europe,,3.06,80.7,83.4,40000,101,,66.2,80.4,100
Ghana,Africa,80.4,11.2,62.4,60.2,1530,76.4,10,56.1,61.7,75.7
Gibraltar,Europe,,,,,,,,,81.9,100
Greece,Europe,98.4,1.29,80.5,76.5,19400,103,5,53.7,80.7,99.9
Greenland,North America,,,,,43000,,,,69.8,100
Grenada,North America,,2.79,72.6,,7510,108,8,,75.3,95.9
Guadeloupe,North America,,,,,,,,,,
Guam,Oceania,,2.94,,,32800,,,,76.9,99.7
Guatemala,North America,81.2,2.75,70.7,58.8,3690,86.2,7,57.4,71.2,90.7
Guernsey,Europe,,,,,,,,,,
Guinea,Africa,,11.5,57.9,27.9,705,39.5,21,40.5,57,63
Guinea-Bissau,Africa,68.9,6.22,56.9,19.9,599,45.6,,,57,58.3
Guyana,South America,,22.5,65.7,60.5,5150,105,10,,67,93.1
Haiti,North America,61,19.3,60,40,1360,81.9,12,48.5,61.6,62.7
High-income countries,,,,,,,,,,,
Honduras,North America,85.3,3.8,71,58.4,2120,107,7,49.6,71.4,91.2
Hong Kong,Asia,,0,,,,,,,,
Hungary,Europe,99.2,6.3,75.1,70.4,11600,104,6,49.2,74.9,100
Iceland,Europe,,6,82.8,96.5,48900,107,3,,82.4,100
India,Asia,,9.97,67.6,73,1290,65.8,18,46.4,67.4,86.2
Indonesia,Asia,95.6,6.02,69.6,65.3,2830,92.7,9,51.7,68.8,85.3
Iran,Asia,,56.6,75.8,19.8,5450,86.4,18,47.7,73.7,96.2
Iraq,Asia,86,33.4,71,40.3,4000,79,16.5,47.3,67.7,90.7
Ireland,Europe,,0,80.8,85.6,46600,105,3,70.1,80.7,97.3
Isle of Man,Europe,,,,,71800,,,,79.2,99.1
