Country name,Literacy rate (2011),Inflation (2021),Life expectancy (2011),increased Life expectanc,Increased life expectancy,ISO3
Afghanistan,32.0,0.525,61.0,3721.0,13845841.0,AFG
Burkina Faso,34.5,0.0,58.3,3398.89,11552453.232099997,BFA
Liberia,43.8,9.95,62.4,3893.7599999999998,15161366.937599998,LBR
Mali,43.8,2.45,58.9,3469.21,12035418.024099998,MLI
Australia,44.0,2.8,82.3,6773.29,45877457.4241,AUS
Chad,45.6,7.2,56.9,3237.6099999999997,10482118.512099998,TCD
Benin,45.84,0.0,61.4,3769.96,14212598.4016,BEN
Ethiopia,48.93,21.8,64.0,4096.0,16777216.0,ETH
Sierra Leone,54.6,6.69,56.6,3203.56,10262796.673600001,SLE
Gambia,60.9,7.85,64.2,4121.64,16987916.289600004,GMB
Haiti,61.0,19.3,60.0,3600.0,12960000.0,HTI
Bangladesh,62.0,4.12,71.1,5055.209999999999,25555148.14409999,BGD
Mozambique,63.42,3.54,53.6,2872.96,8253899.161600001,MOZ
Mauritania,65.3,12.6,68.4,4678.56,21888923.673600007,MRT
Papua New Guinea,65.4,12.7,63.0,3969.0,15752961.0,PNG
Malawi,67.31,8.46,57.7,3329.2900000000004,11084171.904100003,MWI
Guinea-Bissau,68.9,6.22,56.9,3237.6099999999997,10482118.512099998,GNB
Nigeria,69.0,10.0,60.2,3624.0400000000004,13133665.921600003,NGA
Central African Republic,69.6,3.27,48.3,2332.89,5442375.752099998,CAF
Bhutan,70.95,4.7,71.3,5083.69,25843904.016099997,BTN
Nepal,71.1,5.51,69.2,4788.64,22931073.049600005,NPL
Togo,74.1,1.66,60.2,3624.0400000000004,13133665.921600003,TGO
Morocco,76.1,3.24,72.1,5198.409999999999,27023466.52809999,MAR
Cameroon,78.23,3.36,58.2,3387.2400000000002,11473394.817600003,CMR
Uganda,79.0,2.55,60.4,3648.16,13309071.385599999,UGA
United States,79.0,4.49,78.9,6225.210000000001,38753239.54410001,USA
Eritrea,79.5,,60.4,3648.16,13309071.385599999,ERI
Ghana,80.4,11.2,62.4,3893.7599999999998,15161366.937599998,GHA
Comoros,80.5,0.05,65.7,4316.490000000001,18632085.920100003,COM
Sudan,80.7,236.0,67.6,4569.759999999999,20882706.457599994,SDN
Egypt,81.0,4.84,69.6,4844.159999999999,23465886.105599992,EGY
Guatemala,81.2,2.75,70.7,4998.490000000001,24984902.280100003,GTM
Algeria,81.41,15.7,74.7,5580.09,31137404.408100005,DZA
Jamaica,82.1,7.43,75.8,5745.639999999999,33012379.009599995,JAM
Angola,82.6,33.6,60.8,3696.64,13665147.289599998,AGO
Kenya,82.6,5.0,62.0,3844.0,14776336.0,KEN
Albania,83.8,5.93,78.1,6099.609999999999,37205242.15209999,ALB
Cambodia,83.91,1.229,67.4,4542.760000000001,20636668.417600006,KHM
Vanuatu,84.8,0.0,64.5,4160.25,17307680.0625,VUT
Honduras,85.3,3.8,71.0,5041.0,25411681.0,HND
Iraq,86.0,33.4,71.0,5041.0,25411681.0,IRQ
Zimbabwe,87.8,113.0,54.4,2959.3599999999997,8757811.609599998,ZWE
Eswatini,88.4,0.0,49.8,2480.0399999999995,6150598.401599999,SWZ
Cape Verde,89.8,2.33,74.5,5550.25,30805275.0625,CPV
Dominican Republic,90.0,7.78,73.4,5387.56,29025802.75360001,DOM
Syria,90.3,,72.8,5299.839999999999,28088304.025599994,SYR
Saudi Arabia,90.8,14.8,72.2,5212.84,27173700.865600005,SAU
Mauritius,91.1,3.32,74.6,5565.159999999999,30971005.82559999,MUS
Seychelles,91.4,2.69,73.4,5387.56,29025802.75360001,SYC
Israel,91.75,2.13,82.0,6724.0,45212176.0,ISR
Gabon,92.3,25.3,63.7,4057.6900000000005,16464848.136100003,GAB
Bahrain,92.3,9.5,75.3,5670.089999999999,32149920.608099993,BHR
Sri Lanka,92.5,8.06,75.3,5670.089999999999,32149920.608099993,LKA
Brazil,93.0,11.1,74.0,5476.0,29986576.0,BRA
Ecuador,93.0,2.58,74.9,5610.010000000001,31472212.20010001,ECU
Colombia,93.5,6.5,78.7,6193.6900000000005,38361795.81610001,COL
South Africa,93.9,6.22,58.7,3445.6900000000005,11872779.576100003,ZAF
Mexico,94.8,5.16,75.5,5700.25,32492850.0625,MEX
Myanmar,95.1,4.8,65.4,4277.160000000001,18294097.665600006,MMR
Dominica,95.17,3.03,72.4,5241.760000000001,27476047.89760001,DMA
Vietnam,95.4,2.78,73.3,5372.889999999999,28867946.952099994,VNM
Indonesia,95.6,6.02,69.6,4844.159999999999,23465886.105599992,IDN
Libya,95.8,110.0,73.2,5358.240000000001,28710735.897600006,LBY
Costa Rica,96.0,2.03,80.2,6432.040000000001,41371138.56160001,HRV
Netherlands,96.6,2.52,81.1,6577.209999999999,43259691.38409999,NLD
Mongolia,96.8,14.4,65.5,4290.25,18406245.0625,MNG
Portugal,97.0,1.4,80.5,6480.25,41993640.0625,PRT
Equatorial Guinea,97.1,18.2,63.1,3981.61,15853218.192100001,GNQ
Venezuela,97.5,,75.4,5685.160000000001,32321044.225600008,VEN
Argentina,97.8,54.2,76.0,5776.0,33362176.0,ARG
Jordan,97.8,1.28,77.2,5959.84,35519692.825600006,JOR
Palestine,97.9,8.48,73.7,5431.6900000000005,29503256.256100006,PSE
Austria,98.0,1.98,81.0,6561.0,43046721.0,AUT
Romania,98.3,5.42,74.6,5565.159999999999,30971005.82559999,ROU
Greece,98.4,1.29,80.5,6480.25,41993640.0625,GRC
Antigua and Barbuda,98.4,1.98,76.0,5776.0,33362176.0,ATG
North Macedonia,98.7,3.54,73.7,5431.6900000000005,29503256.256100006,MKD
Chile,98.77,7.56,79.0,6241.0,38950081.0,CHL
Bulgaria,98.8,7.13,72.7,5285.29,27934290.384100005,BGR
Denmark,99.0,2.77,79.9,6384.010000000001,40755583.68010001,DNK
Belgium,99.0,2.93,80.4,6464.160000000001,41785364.50560001,BEL
France,99.0,1.33,81.8,6691.24,44772692.73759999,FRA
United Kingdom,99.0,0.0,80.8,6528.639999999999,42623140.24959999,GBR
Trinidad and Tobago,99.2,17.5,74.5,5550.25,30805275.0625,TTO
Hungary,99.2,6.3,75.1,5640.009999999999,31809712.80009999,HUN
Italy,99.2,0.5,82.2,6756.84,45654886.78560001,ITA
Serbia,99.22,5.91,74.3,5520.49,30475809.840099994,SRB
Cyprus,99.3,2.87,79.8,6368.04,40551933.441599995,CYP
Montenegro,99.4,5.29,74.9,5610.010000000001,31472212.20010001,MNE
Bosnia and Herzegovina,99.5,4.88,76.4,5836.960000000001,34070102.04160001,BIH
Croatia,99.5,2.03,77.1,5944.409999999999,35336010.24809999,HRV
Moldova,99.5,3.33,71.7,5140.89,26428749.992100004,MDA
Uzbekistan,99.6,13.6,66.6,4435.5599999999995,19674192.51359999,UZB
Armenia,99.7,6.87,74.2,5505.64,30312071.809600003,ARM
Lithuania,99.7,6.51,73.7,5431.6900000000005,29503256.256100006,LTU
Turkmenistan,99.7,,69.6,4844.159999999999,23465886.105599992,TKM
Slovenia,99.7,2.61,80.0,6400.0,40960000.0,SVN
Estonia,99.8,6.0,76.3,5821.69,33892074.456099994,EST
Latvia,99.8,6.88,73.9,5461.210000000001,29824814.66410001,LVA
Tajikistan,99.8,7.88,68.1,4637.61,21507426.512099992,TJK
Georgia,99.8,10.3,72.2,5212.84,27173700.865600005,GEO
Cuba,99.8,402.0,79.1,6256.8099999999995,39147671.37609999,CUB
Ukraine,99.8,25.1,71.5,5112.25,26135100.0625,UKR
China,99.83,4.37,75.3,5670.089999999999,32149920.608099993,CHN
Poland,99.9,5.05,76.8,5898.24,34789235.0976,POL
Belarus,99.9,13.1,70.5,4970.25,24703385.0625,BLR
Luxembourg,100.0,6.18,81.3,6609.69,43688001.89609999,LUX
Finland,100.0,2.55,80.7,6512.490000000001,42412526.00010001,FIN
